Window training time,Source ID,Collection time,Publishing time,Preprocessing time start,Preprocessing time end,Data arrival time
3958921098,c4672d96,1749932225.2835982,3958921096.6640706,3958921098.5650263,3958921098.689422,1749932240.6664343
3958921100,c4672d96,1749932227.2404766,3958921098.6200128,3958921100.547774,3958921100.679305,1749932241.0018866
3958921102,a2460651,1749932229.1626427,3958921100.544798,3958921102.4850907,3958921102.626173,1749932241.3687642
3958921100,c4672d96,1749932227.2404766,3958921098.6200128,3958921100.547774,3958921100.679305,1749932241.571472
3958921104,50f9fea2,1749932231.0871458,3958921102.4683557,3958921104.4403944,3958921104.5907426,1749932241.7911687
3958921102,a2460651,1749932229.1626427,3958921100.544798,3958921102.4850907,3958921102.626173,1749932241.983207
3958921106,330a8659,1749932233.0762773,3958921104.458941,3958921106.446973,3958921106.585744,1749932242.0661533
3958921104,50f9fea2,1749932231.0871458,3958921102.4683557,3958921104.4403944,3958921104.5907426,1749932242.2008204
3958921108,50f9fea2,1749932235.0566654,3958921106.43647,3958921108.329645,3958921108.46414,1749932242.2978363
3958921106,330a8659,1749932233.0762773,3958921104.458941,3958921106.446973,3958921106.585744,1749932242.4307203
3958921110,902cf9f4,1749932236.9408534,3958921108.3203835,3958921110.3388963,3958921110.4760056,1749932242.5059016
3958921108,50f9fea2,1749932235.0566654,3958921106.43647,3958921108.329645,3958921108.46414,1749932242.6484087
3958921112,c4672d96,1749932238.9491012,3958921110.331863,3958921112.301252,3958921112.432698,1749932242.712472
3958921110,902cf9f4,1749932236.9408534,3958921108.3203835,3958921110.3388963,3958921110.4760056,1749932242.8482924
3958921112,c4672d96,1749932238.9491012,3958921110.331863,3958921112.301252,3958921112.432698,1749932243.0824497
3958921114,330a8659,1749932240.9117432,3958921112.2952766,3958921114.2120585,3958921114.361451,1749932243.1547017
3958921114,330a8659,1749932240.9117432,3958921112.2952766,3958921114.2120585,3958921114.361451,1749932243.4107327
