Window training time,Source ID,Collection time,Publishing time,Polling time,Preprocessing time start,Preprocessing time end,Data arrival time,training_epoch_start,training_epoch_end,training_round_start,training_round_end,local_model_size,global_model_size
3959098091,406fed66,1750109210.1113465,3959098090.017759,3959098090.5383277,3959098091.9203525,3959098092.0597577,3959098092.4218144,1750109212.535526,1750109213.4696379,0,1750109209.3185542,,55315,55389
3959098093,31166487,1750109212.0625958,3959098091.9604764,3959098092.4560304,3959098093.89131,3959098094.0512285,3959098094.08003,1750109214.1932926,1750109215.099008,0,1750109209.332814,1750109215.0990117,55315,55389
3959098093,31166487,1750109212.0625958,3959098091.9604764,3959098092.4560304,3959098093.89131,3959098094.0512285,3959098094.271709,1750109214.385074,1750109215.1878047,0,1750109209.4286418,1750109215.187809,55315,55389
3959098093,31166487,1750109212.0625958,3959098091.9604764,3959098092.4560304,3959098093.89131,3959098094.0512285,3959098094.4256916,1750109214.5390954,1750109215.3389776,0,1750109209.3185542,1750109215.3389807,55315,55389
3959098095,50931061,1750109213.9660308,3959098093.8689,3959098094.598711,3959098095.8567896,3959098096.0166397,3959098096.0845,1750109216.206106,1750109217.0665152,0,1750109215.5711796,,55315,55389
3959098095,50931061,1750109213.9660308,3959098093.8689,3959098094.598711,3959098095.8567896,3959098096.0166397,3959098096.0542603,1750109216.1677465,1750109217.0683045,0,1750109215.5848236,,55315,55389
3959098095,50931061,1750109213.9660308,3959098093.8689,3959098094.598711,3959098095.8567896,3959098096.0166397,3959098096.187678,1750109216.3052459,1750109217.1308026,0,1750109215.5722802,,55315,55389
3959098097,37f483c2,1750109215.9580784,3959098095.86153,3959098096.164405,3959098097.8263383,3959098097.964706,3959098097.998278,1750109218.1124227,1750109219.058964,0,1750109215.5848236,,55315,55389
3959098097,37f483c2,1750109215.9580784,3959098095.86153,3959098096.164405,3959098097.8263383,3959098097.964706,3959098098.1334276,1750109218.2541673,1750109219.3300526,0,1750109215.5711796,,55315,55389
3959098097,37f483c2,1750109215.9580784,3959098095.86153,3959098096.164405,3959098097.8263383,3959098097.964706,3959098098.3996835,1750109218.521792,1750109219.3788486,0,1750109215.5722802,,55315,55389
3959098099,406fed66,1750109217.9251325,3959098097.821198,3959098098.496939,3959098099.794248,3959098099.9346585,3959098099.9602876,1750109220.0733993,1750109220.8264904,0,1750109215.5848236,1750109220.826494,55315,55389
3959098099,406fed66,1750109217.9251325,3959098097.821198,3959098098.496939,3959098099.794248,3959098099.9346585,3959098100.2167783,1750109220.3297675,1750109221.090297,0,1750109215.5711796,1750109221.0903,55315,55389
3959098099,406fed66,1750109217.9251325,3959098097.821198,3959098098.496939,3959098099.794248,3959098099.9346585,3959098100.355021,1750109220.469618,1750109221.2149863,0,1750109215.5722802,1750109221.2149904,55315,55389
3959098101,ce1630f2,1750109219.9007633,3959098099.805282,3959098100.393297,3959098101.737418,3959098101.876382,3959098101.914529,1750109222.0276098,1750109222.7413204,0,1750109221.5410638,,55315,55389
3959098101,ce1630f2,1750109219.9007633,3959098099.805282,3959098100.393297,3959098101.737418,3959098101.876382,3959098101.935125,1750109222.048256,1750109222.9385076,0,1750109221.4354732,,55315,55389
3959098101,ce1630f2,1750109219.9007633,3959098099.805282,3959098100.393297,3959098101.737418,3959098101.876382,3959098102.200852,1750109222.313927,1750109223.1465986,0,1750109221.5410624,,55315,55389
3959098103,50931061,1750109221.83047,3959098101.7284045,3959098102.305784,3959098103.601965,3959098103.7256026,3959098103.798888,1750109223.9117563,1750109224.750818,0,1750109221.4354732,,55315,55389
3959098103,50931061,1750109221.83047,3959098101.7284045,3959098102.305784,3959098103.601965,3959098103.7256026,3959098103.7507505,1750109223.8637102,1750109224.807869,0,1750109221.5410638,,55315,55389
3959098103,50931061,1750109221.83047,3959098101.7284045,3959098102.305784,3959098103.601965,3959098103.7256026,3959098103.861629,1750109223.974858,1750109224.8638556,0,1750109221.5410624,,55315,55389
3959098105,50931061,1750109223.801439,3959098103.7047296,3959098104.000474,3959098105.627195,3959098105.790532,3959098105.9232144,1750109226.0359755,1750109226.9202113,0,1750109221.5410624,1750109226.9202158,55315,55389
3959098105,50931061,1750109223.801439,3959098103.7047296,3959098104.000474,3959098105.627195,3959098105.790532,3959098105.8719764,1750109225.9895017,1750109226.9407928,0,1750109221.4354732,1750109226.9408145,55315,55389
3959098105,50931061,1750109223.801439,3959098103.7047296,3959098104.000474,3959098105.627195,3959098105.790532,3959098105.821904,1750109225.9356003,1750109227.1005995,0,1750109221.5410638,1750109227.1006026,55315,55389
3959098107,406fed66,1750109225.7166388,3959098105.6140146,3959098106.0467973,3959098107.532787,3959098107.6616755,3959098107.689159,1750109227.8089077,1750109228.5316374,0,1750109227.4263062,,55315,55389
3959098107,406fed66,1750109225.7166388,3959098105.6140146,3959098106.0467973,3959098107.532787,3959098107.6616755,3959098107.8066077,1750109227.9193604,1750109228.6091404,0,1750109227.3342175,,55315,55389
3959098107,406fed66,1750109225.7166388,3959098105.6140146,3959098106.0467973,3959098107.532787,3959098107.6616755,3959098107.732656,1750109227.8459847,1750109228.667638,0,1750109227.3544285,,55315,55389
